image,pose,GCstrokes,PEstrokes
2013_Validation_GEO_MDGA_R0012775.png,S,386,255
2013_Validation_GEO_MDGA_R0012784.png,R,393,194
2013_Validation_GEO_MDGA_R0012786.png,S,452,95
2013_Validation_GEO_MDGA_R0012793.png,R,144,126
2013_Validation_GEO_MDGA_R0012795.png,S,305,18
2013_Validation_GEO_MDGA_R0012799.png,R,241,114
2013_Validation_GEO_MDGA_R0012803.png,S,344,79
2013_Validation_GEO_MDGA_R0012807.png,R,442,172
2013_Validation_GEO_MDGA_R0012809.png,S,598,119
2013_Validation_GEO_MDGA_R0012814.png,R,235,106
2013_Validation_GEO_MDGA_R0012816.png,S,463,119
2013_Validation_GEO_MDGA_R0012824.png,R,643,305
2013_Validation_GEO_MDGA_R0012827.png,S,628,90
2013_Validation_GEO_MDGA_R0012831.png,R,633,407
2013_Validation_GEO_MDGA_R0012833.png,S,630,42
2013_Validation_GEO_MDGA_R0012838.png,R,391,223
2013_Validation_GEO_MDGA_R0012840.png,S,596,57
2013_Validation_GEO_MDGA_R0012846.png,R,416,323
2013_Validation_GEO_MDGA_R0012848.png,S,546,128
2013_Validation_GEO_MDGA_R0012856.png,R,352,80
2013_Validation_GEO_MDGA_R0012858.png,S,275,0
2013_Validation_GEO_MDGA_R0012862.png,R,285,215
2013_Validation_GEO_MDGA_R0012864.png,S,550,157
2013_Validation_GEO_MDGA_R0012869.png,R,240,200
2013_Validation_GEO_MDGA_R0012873.png,S,601,149
2013_Validation_GEO_MDGA_R0012877.png,R,503,243
2013_Validation_GEO_MDGA_R0012879.png,S,509,142
2013_Validation_GEO_MDGA_R0012883.png,R,244,145
2013_Validation_GEO_MDGA_R0012885.png,S,578,189
2013_Validation_GEO_MDGA_R0012890.png,R,210,270
2013_Validation_GEO_MDGA_R0012892.png,S,527,593
2013_Validation_GEO_MDGA_R0012899.png,R,233,216
2013_Validation_GEO_MDGA_R0012901.png,S,371,121
2013_Validation_GEO_MDGA_R0012905.png,R,213,188
2013_Validation_GEO_MDGA_R0012907.png,S,413,32
2013_Validation_GEO_MDGA_R0012911.png,R,293,140
2013_Validation_GEO_MDGA_R0012913.png,S,1100,204
2013_Validation_GEO_MDGA_R0012919.png,R,490,324
2013_Validation_GEO_MDGA_R0012921.png,S,732,76
2013_Validation_GEO_MDGA_R0012926.png,R,530,102
2013_Validation_GEO_MDGA_R0012929.png,S,862,220
2013_Validation_GEO_MDGA_R0012934.png,R,278,65
2013_Validation_GEO_MDGA_R0012936.png,S,818,119
2013_Validation_GEO_MDGA_R0012942.png,R,500,335
2013_Validation_GEO_MDGA_R0012945.png,S,1135,283
2013_Validation_GEO_MDGA_R0012950.png,R,774,395
2013_Validation_GEO_MDGA_R0012952.png,S,633,25
2013_Validation_GEO_MDGA_R0012957.png,R,527,335
2013_Validation_GEO_MDGA_R0012959.png,S,957,140
2013_Validation_GEO_MDGA_R0012965.png,R,564,360
2013_Validation_GEO_MDGA_R0012967.png,S,935,436
2013_Validation_GEO_Montgomery__R0013379.png,R,574,390
2013_Validation_GEO_Montgomery__R0013381.png,S,830,215
2013_Validation_GEO_Montgomery__R0013385.png,R,194,324
2013_Validation_GEO_Montgomery__R0013387.png,S,574,416
2013_Validation_GEO_Montgomery__R0013391.png,R,555,288
2013_Validation_GEO_Montgomery__R0013393.png,S,713,281
2013_Validation_GEO_Montgomery__R0013398.png,R,339,346
2013_Validation_GEO_Montgomery__R0013400.png,S,791,340
2013_Validation_GEO_Montgomery__R0013405.png,R,659,81
2013_Validation_GEO_Montgomery__R0013407.png,S,608,46
2013_Validation_GEO_Montgomery__R0013412.png,R,159,214
2013_Validation_GEO_Montgomery__R0013414.png,S,422,217
2013_Validation_GEO_Montgomery__R0013418.png,R,645,122
2013_Validation_GEO_Montgomery__R0013420.png,S,748,595
2013_Validation_GEO_Montgomery__R0013425.png,R,413,84
2013_Validation_GEO_Montgomery__R0013427.png,S,432,580
2013_Validation_GEO_Montgomery__R0013431.png,R,345,26
2013_Validation_GEO_Montgomery__R0013433.png,S,711,424
2013_Validation_GEO_Montgomery__R0013441.png,R,276,303
2013_Validation_GEO_Montgomery__R0013443.png,S,465,348
2013_Validation_GEO_Montgomery__R0013447.png,R,508,197
2013_Validation_GEO_Montgomery__R0013449.png,S,766,158
2013_Validation_GEO_Montgomery__R0013453.png,R,402,57
2013_Validation_GEO_Montgomery__R0013455.png,S,819,145
2013_Validation_GEO_Montgomery__R0013459.png,R,434,134
2013_Validation_GEO_Montgomery__R0013461.png,S,623,188
2013_Validation_GEO_Montgomery__R0013466.png,R,373,204
2013_Validation_GEO_Montgomery__R0013469.png,S,733,243
2013_Validation_GEO_Montgomery__R0013473.png,R,411,216
2013_Validation_GEO_Montgomery__R0013475.png,S,688,220
2013_Validation_GEO_Montgomery__R0013482.png,R,398,332
2013_Validation_GEO_Montgomery__R0013484.png,S,600,116
2013_Validation_GEO_Montgomery__R0013488.png,R,333,69
2013_Validation_GEO_Montgomery__R0013491.png,S,1132,456
2013_Validation_GEO_Montgomery__R0013495.png,R,417,41
2013_Validation_GEO_Montgomery__R0013497.png,S,899,179
2013_Validation_GEO_Montgomery__R0013501.png,R,369,163
2013_Validation_GEO_Montgomery__R0013503.png,S,975,376
2013_Validation_GEO_Montgomery__R0013510.png,R,481,252
2013_Validation_GEO_Montgomery__R0013512.png,S,754,41
2013_Validation_GEO_Montgomery__R0013516.png,R,505,375
2013_Validation_GEO_Montgomery__R0013519.png,S,790,417
2013_Validation_GEO_Montgomery__R0013524.png,R,335,239
2013_Validation_GEO_Montgomery__R0013526.png,S,635,428
2013_Validation_GEO_Montgomery__R0013530.png,R,562,189
2013_Validation_GEO_Montgomery__R0013532.png,S,913,76
2013_Validation_GEO_Montgomery__R0013536.png,R,342,193
2013_Validation_GEO_Montgomery__R0013538.png,S,705,186
2013_Validation_GEO_Montgomery__R0013542.png,R,426,159
2013_Validation_GEO_Montgomery__R0013544.png,S,891,46
2013_Validation_GEO_Montgomery__R0013548.png,R,415,19
2013_Validation_GEO_Montgomery__R0013550.png,S,719,42
2013_Validation_GEO_Montgomery__R0013554.png,R,397,224
2013_Validation_GEO_Montgomery__R0013557.png,S,1016,260
2013_Validation_GEO_Montgomery__R0013563.png,R,450,254
2013_Validation_GEO_Montgomery__R0013565.png,S,761,122
2013_Validation_GEO_Montgomery__R0013570.png,R,614,273
2013_Validation_GEO_Montgomery__R0013573.png,S,708,141
2013_Validation_GEO_Montgomery__R0013578.png,R,516,207
2013_Validation_GEO_Montgomery__R0013580.png,S,571,120
2013_Validation_GEO_Montgomery__R0013585.png,R,464,226
2013_Validation_GEO_Montgomery__R0013588.png,S,651,375
2013_Validation_GEO_Montgomery__R0013593.png,R,431,183
2013_Validation_GEO_Montgomery__R0013595.png,S,506,53
2013_Validation_GEO_State_R0013605.png,R,237,115
2013_Validation_GEO_State_R0013607.png,S,383,322
2013_Validation_GEO_State_R0013614.png,R,160,82
2013_Validation_GEO_State_R0013617.png,S,478,275
2013_Validation_GEO_State_R0013621.png,R,499,502
2013_Validation_GEO_State_R0013623.png,S,1022,561
2013_Validation_GEO_State_R0013630.png,R,541,369
2013_Validation_GEO_State_R0013632.png,S,946,481
2013_Validation_GEO_State_R0013636.png,R,387,308
2013_Validation_GEO_State_R0013638.png,S,879,613
2013_Validation_GEO_State_R0013642.png,R,687,380
2013_Validation_GEO_State_R0013644.png,S,879,437
2013_Validation_GEO_State_R0013647.png,R,434,213
2013_Validation_GEO_State_R0013649.png,S,1058,455
2013_Validation_GEO_State_R0013653.png,R,671,284
2013_Validation_GEO_State_R0013655.png,S,988,133
2013_Validation_GEO_State_R0013658.png,R,455,309
2013_Validation_GEO_State_R0013660.png,S,800,474
2013_Validation_GEO_State_R0013665.png,R,654,405
2013_Validation_GEO_State_R0013667.png,S,912,351
2013_Validation_GEO_State_R0013671.png,R,456,224
2013_Validation_GEO_State_R0013673.png,S,873,205
2013_Validation_GEO_State_R0013677.png,R,523,425
2013_Validation_GEO_State_R0013679.png,S,921,417
2013_Validation_GEO_State_R0013683.png,R,636,325
2013_Validation_GEO_State_R0013685.png,S,1115,493
2013_Validation_GEO_State_R0013689.png,R,683,733
2013_Validation_GEO_State_R0013691.png,S,1356,168
2013_Validation_GEO_State_R0013695.png,R,482,64
2013_Validation_GEO_State_R0013697.png,S,1127,323
2013_Validation_GEO_State_R0013701.png,R,537,469
2013_Validation_GEO_State_R0013703.png,S,817,220
2013_Validation_GEO_State_R0013708.png,R,452,427
2013_Validation_GEO_State_R0013710.png,S,937,373
2013_Validation_GEO_State_R0013714.png,R,407,524
2013_Validation_GEO_State_R0013717.png,S,798,298
2013_Validation_GEO_State_R0013721.png,R,511,262
2013_Validation_GEO_State_R0013723.png,S,915,614
2013_Validation_GEO_State_R0013730.png,R,247,364
2013_Validation_GEO_State_R0013732.png,S,1112,297
2013_Validation_GEO_State_R0013737.png,R,376,260
2013_Validation_GEO_State_R0013739.png,S,639,237
2013_Validation_GEO_State_R0013748.png,R,626,508
2013_Validation_GEO_State_R0013750.png,S,811,394
2013_Validation_GEO_State_R0013755.png,R,349,308
2013_Validation_GEO_State_R0013757.png,S,863,401
2013_Validation_GEO_State_R0013761.png,R,616,446
2013_Validation_GEO_State_R0013763.png,S,528,216
2013_Validation_GEO_State_R0013767.png,R,403,269
2013_Validation_GEO_State_R0013769.png,S,1057,349
2013_Validation_GEO_State_R0013773.png,R,338,489
2013_Validation_GEO_State_R0013775.png,S,654,461
2013_Validation_GEO_State_R0013779.png,R,314,105
2013_Validation_GEO_State_R0013781.png,S,960,321
2013_Validation_GEO_State_R0013786.png,R,230,164
2013_Validation_GEO_State_R0013789.png,S,988,343
2013_Validation_GEO_State_R0013794.png,R,454,332
2013_Validation_GEO_State_R0013796.png,S,1013,298
2013_Validation_GEO_State_R0013801.png,R,661,409
2013_Validation_GEO_State_R0013803.png,S,1035,458
2013_Validation_GEO_State_R0013807.png,R,586,372
2013_Validation_GEO_State_R0013809.png,S,1161,425
2013_Validation_GEO_State_R0013813.png,R,790,559
2013_Validation_GEO_State_R0013815.png,S,494,297
2013_Validation_GEO_State_R0013820.png,R,682,339
2013_Validation_GEO_State_R0013822.png,S,1060,297
2013_Validation_GEO_State_R0013826.png,R,757,332
2013_Validation_GEO_State_R0013828.png,S,732,526
2013_Validation_GEO_State_R0013832.png,R,406,435
2013_Validation_GEO_State_R0013834.png,S,1252,203
2013_Validation_GEO_State_R0013839.png,R,476,331
2013_Validation_GEO_State_R0013841.png,S,1011,454
2013_Validation_GEO_State_R0013845.png,R,633,133
2013_Validation_GEO_State_R0013848.png,S,691,209
2013_Validation_GEO_State_R0013852.png,R,720,744
2013_Validation_GEO_State_R0013854.png,S,1028,400
