,ht,len,chest,sidewither,sidelength,girth
ht,1.0,0.9173363593592807,0.8175641567300691,0.9307060337995706,0.873875541041812,0.7357785492352445
len,0.9173363593592807,1.0,0.9080147785161047,0.8703583565827379,0.9429910584951999,0.8345213052483275
chest,0.8175641567300691,0.9080147785161047,1.0,0.7720277842580009,0.9253129858211282,0.8931291764182396
sidewither,0.9307060337995706,0.8703583565827379,0.7720277842580009,1.0,0.8729660891394105,0.7548862049737535
sidelength,0.873875541041812,0.9429910584951999,0.9253129858211282,0.8729660891394105,1.0,0.891536984509192
girth,0.7357785492352445,0.8345213052483275,0.8931291764182396,0.7548862049737535,0.891536984509192,1.0
