,ht,len,chest,sidewither,sidelength,girth
ht,1.0,0.9173363593592817,0.8175641567300701,0.9355650800216911,0.8754571433499828,0.7085122670766452
len,0.9173363593592817,1.0,0.9080147785161033,0.8633930467212219,0.9443317209950727,0.8220266182554681
chest,0.8175641567300701,0.9080147785161033,1.0,0.7521578081050493,0.9328835719483272,0.8686364235979981
sidewither,0.9355650800216911,0.8633930467212219,0.7521578081050493,1.0,0.8551915907251473,0.7328435170576969
sidelength,0.8754571433499828,0.9443317209950727,0.9328835719483272,0.8551915907251473,1.0,0.8655387519313017
girth,0.7085122670766452,0.8220266182554681,0.8686364235979981,0.7328435170576969,0.8655387519313017,1.0
