sampleID,allphotos,famacha_score,calinch_pixel,calCM_pixel,errcalposition,errrearposition,errsideposition,calsidebodyarea,calsidebellyht,calsidelength,calsidewither,calsidedepth,reardepth,rearht,rearbellyht,rearwidth,sidebodyarea,sidebellyht,sidelength,sidewither,sidedepth,girth,ADAPTMapKGS,ADAPTMapLBS
AF-1-hi,"[('2013_Validation_GEO_Allegany_R0012973.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0012975.png', 'SIGN')]",missed,0.23892051935391642,0.6068581151536842,1.0,0.9971458492715828,1.0,3746.135144843692,42.480068060757894,79.49841308513263,78.89155496997894,36.41148690922105,36.41148690922105,79.18053502481402,42.76904811559297,25.430244825487712,3746.135144843692,42.480068060757894,79.49841308513263,78.89155496997894,36.41148690922105,97.1407650515159,29.990092016231678,66.1168892225429
AF-1-lo,"[('2013_Validation_GEO_Allegany_R0012981.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0012983.png', 'SIGN')]",missed,0.19607843137254902,0.49803921239921567,1.0,0.9989608986148778,1.0,4717.92545905777,45.321568328328624,81.18039162107216,82.17647004587059,36.854901717541956,36.854901717541956,81.95366302979726,45.09876131225529,26.671310453484313,4717.92545905777,45.321568328328624,81.18039162107216,82.17647004587059,36.854901717541956,99.78674073344132,36.29992824682911,80.02770826387835
AF-2-hi,"[('2013_Validation_GEO_Allegany_R0012988.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0012990.png', 'SIGN')]",missed,0.22664829345448265,0.5756866615748539,1.0,0.9944679055002953,1.0,4114.432570275481,38.571006325515214,80.59613262047955,75.99063932788071,37.41963300236551,37.41963300236551,69.64209475440248,32.22246175203696,24.946422001577005,4114.432570275481,38.571006325515214,80.59613262047955,75.99063932788071,37.41963300236551,97.96437011688137,36.998887086781394,81.56864999114049
AF-2-lo,"[('2013_Validation_GEO_Allegany_R0012994.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0012996.png', 'SIGN')]",missed,0.19148252502094376,0.4863656103431841,1.0,0.9971053507324951,1.0,4789.728530659677,37.93651760676836,80.25032570662538,74.90030399285035,36.96378638608199,36.96378638608199,79.20811368446142,42.244327298379424,25.874650470257397,4789.728530659677,37.93651760676836,80.25032570662538,74.90030399285035,36.96378638608199,98.70638579547096,42.534702630897016,93.77304412533073
AF-3-hi,"[('2013_Validation_GEO_Allegany_R0013000.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013002.png', 'SIGN')]",missed,0.2134633778358137,0.5421969761244667,1.0,0.9934904837604178,1.0,2440.970786512349,34.158409495841404,63.437046206562606,60.72606132594027,26.567651830098868,26.567651830098868,59.77721661772245,33.209564787623584,20.40016122668306,2440.970786512349,34.158409495841404,63.437046206562606,60.72606132594027,26.567651830098868,73.77686822718245,18.038652415622114,39.7684536226876
AF-3-lo,"[('2013_Validation_GEO_Allegany_R0013006.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013008.png', 'SIGN')]",missed,0.20495847453300414,0.5205945218779067,1.0,0.9982853887231471,1.0,2364.0197238475744,36.44161653145347,61.43015358159299,61.95074810347089,25.509131572017427,25.509131572017424,62.022202253532555,36.51307068151514,20.007162017268566,2364.0197238475744,36.44161653145347,61.43015358159299,61.95074810347089,25.509131572017427,71.49682677936853,16.358189573879457,36.063664204570316
AF-4-hi,"[('2013_Validation_GEO_Allegany_R0013012.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013014.png', 'SIGN')]",missed,0.19048531158595022,0.4838326882350178,1.0,0.9876101181702451,1.0,1635.8383189225951,29.997626670571105,50.80243226467687,49.834766888206836,19.837140217635728,19.83714021763573,41.838332095377176,22.001191877741448,15.148361620740012,1635.8383189225951,29.997626670571105,50.80243226467687,49.834766888206836,19.837140217635728,54.95509777879671,8.475018158898163,18.68423199460785
AF-4-lo,"[('2013_Validation_GEO_Allegany_R0013018.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013020.png', 'SIGN')]",missed,0.18626289810386923,0.4731077580613166,1.0,0.9972244906231958,1.0,2061.8036096312176,26.49403445143373,52.51496114480614,50.14942235449956,23.65538790306583,23.65538790306583,48.18690128402299,24.531513380957158,15.770258602043885,2061.8036096312176,26.49403445143373,52.51496114480614,50.14942235449956,23.65538790306583,61.92966071174039,13.703608189918404,30.211309260124526
AF-5-hi,"[('2013_Validation_GEO_Allegany_R0013025.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013027.png', 'SIGN')]",missed,0.2448664440851514,0.6219607638713435,1.0,0.9951645503678301,1.0,3997.3418294011244,37.31764583228061,82.09882083101733,75.87921319230391,38.5615673600233,38.5615673600233,75.39649737556795,36.83493001554464,25.324014385686944,3997.3418294011244,37.31764583228061,82.09882083101733,75.87921319230391,38.5615673600233,100.35123714131674,38.427792091365674,84.7188488583698
AF-5-lo,"[('2013_Validation_GEO_Allegany_R0013032.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013034.png', 'SIGN')]",missed,0.2,0.5079999966472,1.0,0.9967567567567568,1.0,4546.59996999244,35.0519997686568,78.2319994836688,72.6439995205496,37.5919997518928,37.5919997518928,77.39529360683812,39.803293854945316,24.324235133577695,4546.59996999244,35.0519997686568,78.2319994836688,72.6439995205496,37.5919997518928,97.25779432706709,43.293883232687556,95.44675221936797
