,ht,len,chest,weight,sidewither,sidelength,girth,ADAPTMapKGS,ADAPTMapLBS
ht,1.0,0.9173363593592816,0.817564156730071,0.7638704769352129,0.9307060337995697,0.8738755410418123,0.7357785492352451,0.7846869402886321,0.7846869402948227
len,0.9173363593592816,1.0,0.9080147785161037,0.8691184689298102,0.870358356582737,0.9429910584952003,0.8345213052483264,0.8784049843063187,0.878404984338207
chest,0.817564156730071,0.9080147785161037,1.0,0.9249096751608544,0.7720277842580011,0.9253129858211288,0.8931291764182393,0.9270673318988703,0.927067331897743
weight,0.7638704769352129,0.8691184689298102,0.9249096751608544,1.0,0.6949820390730501,0.843376606447666,0.8216525954171292,0.8725987941896564,0.8725987942023212
sidewither,0.9307060337995697,0.870358356582737,0.7720277842580011,0.6949820390730501,1.0,0.8729660891394111,0.7548862049737535,0.7126565825353993,0.7126565825494642
sidelength,0.8738755410418123,0.9429910584952003,0.9253129858211288,0.843376606447666,0.8729660891394111,1.0,0.891536984509191,0.8844714617870396,0.8844714618068852
girth,0.7357785492352451,0.8345213052483264,0.8931291764182393,0.8216525954171292,0.7548862049737535,0.891536984509191,1.0,0.8928072218628574,0.8928072218497959
ADAPTMapKGS,0.7846869402886321,0.8784049843063187,0.9270673318988703,0.8725987941896564,0.7126565825353993,0.8844714617870396,0.8928072218628574,1.0,0.9999999999999999
ADAPTMapLBS,0.7846869402948227,0.878404984338207,0.927067331897743,0.8725987942023212,0.7126565825494642,0.8844714618068852,0.8928072218497959,0.9999999999999999,1.0
