,ht,len,chest,sidewither,sidelength,girth
ht,1.0,0.9173363593592816,0.817564156730071,0.9307060337995697,0.8738755410418123,0.7357785492352451
len,0.9173363593592816,1.0,0.9080147785161037,0.870358356582737,0.9429910584952003,0.8345213052483264
chest,0.817564156730071,0.9080147785161037,1.0,0.7720277842580011,0.9253129858211288,0.8931291764182393
sidewither,0.9307060337995697,0.870358356582737,0.7720277842580011,1.0,0.8729660891394111,0.7548862049737535
sidelength,0.8738755410418123,0.9429910584952003,0.9253129858211288,0.8729660891394111,1.0,0.891536984509191
girth,0.7357785492352451,0.8345213052483264,0.8931291764182393,0.7548862049737535,0.891536984509191,1.0
