sampleID,allphotos,famacha_score,calinch_pixel,calCM_pixel,errcalposition,errrearposition,errsideposition,calsidebodyarea,calsidebellyht,calsidelength,calsidewither,calsidedepth,reardepth,rearht,rearbellyht,rearwidth,sidebodyarea,sidebellyht,sidelength,sidewither,sidedepth,girth,ADAPTMapKGS,ADAPTMapLBS,tape,weight,chest,ht,len,crosschk
MDGA-1-hi,"[('2013_Validation_GEO_MDGA_R0012768.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012775.png', 'SIGN')]",missed,0.304787382,0.774159944,1,0.959507156,1,2039.137293,23.99895827,66.57775521,54.1911961,30.19223783,30.19223783,49.60153358,19.40929575,23.72247258,2039.137293,23.99895827,66.57775521,54.1911961,30.19223783,84.68902907,20.04171519,44.18445472,84,62,75.5,51,59,V-01-MDGA.Yth-1
MDGA-1-lo,"[('2013_Validation_GEO_MDGA_R0012784.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012786.png', 'SIGN')]",missed,0.257575613,0.654242053,1,0.988942467,1,1984.970389,26.82392418,60.19026889,54.30209041,27.47816623,27.47816623,52.15243795,24.67427172,23.55271391,1984.970389,26.82392418,60.19026889,54.30209041,27.47816623,80.15911908,17.59681391,38.79436567,84,62,75.5,51,59,V-01-MDGA.Yth-1
MDGA-2-hi,"[('2013_Validation_GEO_MDGA_R0012793.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012795.png', 'SIGN')]",missed,0.269290927,0.683998951,1,0.997867129,1,1387.833872,23.25596433,51.98392027,46.51192867,23.25596433,23.25596433,47.84084091,24.58487658,18.60477147,1387.833872,23.25596433,51.98392027,46.51192867,23.25596433,65.75469003,9.914700373,21.85819056,36,26,55,43,43,V-02-MDGA.Yth-2
MDGA-2-lo,"[('2013_Validation_GEO_MDGA_R0012799.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012803.png', 'SIGN')]",missed,0.286913093,0.72875925,1,0.992516443,1,1359.864761,24.04905526,52.47066601,48.09811051,24.04905526,24.04905526,48.76613982,24.71708457,16.0327035,1359.864761,24.04905526,52.47066601,48.09811051,24.04905526,62.96027943,9.247810773,20.38794946,36,26,55,43,43,V-02-MDGA.Yth-2
MDGA-3-hi,"[('2013_Validation_GEO_MDGA_R0012807.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012809.png', 'SIGN')]",missed,0.23886314,0.606712372,1,0.995245367,1,1440.941885,23.66178253,50.96383928,45.50342793,21.84164541,21.84164541,43.12324863,21.28160322,17.36130789,1440.941885,23.66178253,50.96383928,45.50342793,21.84164541,61.57985504,9.241921803,20.3749665,38,27,56,46,46,V-03-MDGA.Yth-3
MDGA-3-lo,"[('2013_Validation_GEO_MDGA_R0012814.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012816.png', 'SIGN')]",missed,0.227634806,0.578192404,1,0.997199048,1,1428.135238,23.12769616,49.14635433,44.5208151,21.39311894,21.39311894,44.43186242,23.03874348,15.35916232,1428.135238,23.12769616,49.14635433,44.5208151,21.39311894,57.73034841,8.630265875,19.0264949,38,27,56,46,46,V-03-MDGA.Yth-3
MDGA-4-hi,"[('2013_Validation_GEO_MDGA_R0012824.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012827.png', 'SIGN')]",missed,0.303659895,0.771296128,1,0.986339358,1,3663.656609,41.64999092,86.38516636,83.29998184,41.64999092,41.64999092,79.94111161,38.29112069,26.87096188,3663.656609,41.64999092,86.38516636,83.29998184,41.64999092,107.632461,32.66730904,72.01914724,130,119,90,77,79,V-04-MDGA.Yth-4
MDGA-4-lo,"[('2013_Validation_GEO_MDGA_R0012831.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012833.png', 'SIGN')]",missed,0.272724965,0.692721407,1,0.998739341,1,3819.665836,44.33417002,82.43384738,85.20473301,40.87056299,40.87056299,85.14700622,44.27644324,25.20351384,3819.665836,44.33417002,82.43384738,85.20473301,40.87056299,103.7889172,32.19958227,70.98798538,130,119,90,77,79,V-04-MDGA.Yth-4
MDGA-5-hi,"[('2013_Validation_GEO_MDGA_R0012838.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012840.png', 'SIGN')]",missed,0.286922765,0.728783818,1,0.992682251,1,2549.285794,38.62554233,72.14959794,71.42081413,32.79527179,32.79527179,69.60629115,36.81101936,28.77952423,2549.285794,38.62554233,72.14959794,71.42081413,32.79527179,96.72146341,22.07877389,48.67540408,98,76,81,66,62,V-05-MDGA.Yth-5
MDGA-5-lo,"[('2013_Validation_GEO_MDGA_R0012846.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012848.png', 'SIGN')]",missed,0.222835391,0.56600189,1,0.998226585,1,3011.696058,38.48812853,68.48622871,70.18423438,31.69610585,31.69610585,72.78365047,41.08754462,18.78287754,3011.696058,38.48812853,68.48622871,70.18423438,31.69610585,79.29220169,22.72489914,50.09986759,98,76,81,66,62,V-05-MDGA.Yth-5
