,ht,len,chest,sidewither,sidelength,girth
ht,1.0,0.9173363593592823,0.8175641567300708,0.9355650800216919,0.8754571433499831,0.7085122670766446
len,0.9173363593592823,1.0,0.9080147785161042,0.8633930467212225,0.9443317209950737,0.8220266182554685
chest,0.8175641567300708,0.9080147785161042,1.0,0.7521578081050492,0.9328835719483277,0.8686364235979979
sidewither,0.9355650800216919,0.8633930467212225,0.7521578081050492,1.0,0.8551915907251462,0.7328435170576961
sidelength,0.8754571433499831,0.9443317209950737,0.9328835719483277,0.8551915907251462,1.0,0.8655387519313011
girth,0.7085122670766446,0.8220266182554685,0.8686364235979979,0.7328435170576961,0.8655387519313011,1.0
